company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ABB,Junior Data Analyst,4,Bengaluru,"₹ 3,25,236",10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Philips,Data Scientist - AI/ML,4,Bengaluru,,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.7,4,3.5,4
HSBC,Data Science GSC’s,3.9,Bengaluru,,10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7
Facctum Solutions,Data Analyst,,Karnataka,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
JPMorgan Chase & Co,Data and Analytics - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Sanfoundry,Data Scientist - Fresher,,Hyderābād,"₹ 4,16,516",1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Beinex,Trainee in Data Science,3.9,Cochin,"₹ 2,80,977",201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5
Sanfoundry,Junior Software Engineer - Data Science - Fresher,,Hyderābād,"₹ 3,82,623",1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Oracle,Data Scientist,3.8,Bengaluru,"₹ 7,09,930",10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),3.6,3.5,3.7,3.5,4
PhonePe,Data Scientist,4.1,Bengaluru,"₹ 10,24,695",5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Hyqoo,Data Annotator,4.5,Remote,,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
BigShyft,Data Scientist,3.9,Bengaluru,"₹ 20,00,000",1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Findem,Researcher - Data Operations Intern,4.3,Remote,"₹ 9,000",51 to 200 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Sanfoundry,Junior Data Scientist,,Hyderābād,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
News Corp,Data Analyst,3.6,Bengaluru,"₹ 5,22,206",10000+ Employees,2013,Company - Public,Publishing,Media & Communication,$5 to $10 billion (USD),3.5,3.4,3.3,3.2,3.5
"Medpace, Inc.",Clinical Data Coder,3.4,Thāne,"₹ 5,79,224",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Infosys,Data Scientist,3.8,Bengaluru,,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Microsoft,Data Annotation Specialist,4.2,Hyderābād,"₹ 3,17,979",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Skyla Software Solution,Data Entry Operator,,Jamshedpur,"₹ 84,853",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,4,3,5,4,2
TVS Supply Chain Solutions,Data Entry Operator,3.4,Bengaluru,"₹ 2,55,288",501 to 1000 Employees,--,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,3.2,2.9,3,3,3
Nissan,Data Engineer I,3.9,Thiruvananthapuram,"₹ 4,43,415",10000+ Employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),3.6,3.7,3.7,3.5,3.4
SatSure Analytics India,Data Scientist Intern,,Bengaluru,,51 to 200 Employees,2017,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,4.7,3.8,4.4,4.3,3.9
Sanfoundry,Data Scientist - Python/ Machine Learning,,Mumbai,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
MathCo,Associate - Data Science,3.5,Bengaluru,"₹ 8,76,519",1001 to 5000 Employees,2016,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,2.9
Amex,Analyst - Data Analytics,4.2,Gurgaon,"₹ 4,82,311",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),3.8,4,4.2,3.8,4.1
KPMG,Digital Trust S&G-Data Privacy and Ethics Analyst,3.8,Gurgaon,"₹ 4,95,831",10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Dow Jones,Summer 2024 Internship - Data & AI (APAC),3.8,Delhi,,5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),3.3,3.4,3.7,3.2,4
